project,file1,file2,label
immutables,value-fixture/src/org/immutables/fixture/jackson3/MinimumAnnotationsMapped.java,value-fixture/src/org/immutables/fixture/AllDefaults.java,0
leet-code,Java/Evaluate Reverse Polish Notation.java,Java/HashWithCustomizedClass(LinkedList).java,1
java-design-patterns,thread-pool-executor/src/test/java/com/iluwatar/threadpoolexecutor/AppTest.java,backpressure/src/test/java/com/iluwatar/backpressure/LoggerExtension.java,0
leet-code,Java/747. Largest Number At Least Twice of Others.java,Java/Largest Number.java,0
leet-code,Java/9. Palindrome Number.java,Java/Serilization and Deserialization Of Binary Tree.java,0
leet-code,Java/307. Range Sum Query - Mutable.java,Java/Sort List.java,0
immutables,value-fixture/src-java-17/org/immutables/fixture/jackson3/ConstructorJacksonMapped.java,value-annotations/src/org/immutables/value/Value.java,0
leet-code,Java/152. Maximum Product Subarray.java,Java/HashWithCustomizedClass(LinkedList).java,1
leet-code,Java/69. Sqrt(x).java,Java/Intersection of Two Linked Lists.java,0
leet-code,Java/273. Integer to English Words.java,Java/62. Unique Path.java,1
leet-code,Java/493. Reverse Pairs.java,Java/Reshape the Matrix.java,1
immutables,value-fixture/src/org/immutables/fixture/jdkonly/OptionalDoubleDefault.java,value-fixture/src-java-17/org/immutables/fixture/datatype/SomeTypes.java,0
leet-code,Java/1. Two Sum.java,Java/443. String Compression.java,1
leet-code,Java/134. Gas Station.java,Java/Minimum Absolute Difference in BST.java,1
leet-code,Java/Binary Tree Longest Consecutive Sequence II.java,Java/Two Sum.java,0
leet-code,Java/Move Zeroes.java,Java/Populating Next Right Pointers in Each Node II.java,0
leet-code,Java/Bus Routes.java,Java/Accounts Merge.java,0
leet-code,Java/245. Shortest Word Distance III.java,Java/Longest Valid Parentheses.java,1
leet-code,Java/785. Is Graph Bipartite.java,Java/Sliding Window Median.java,0
leet-code,Java/159. Longest Substring with At Most Two Distinct Characters.java,Java/747. Largest Number At Least Twice of Others.java,1
java-design-patterns,thread-pool-executor/src/main/java/com/iluwatar/threadpoolexecutor/VipGuestCheckInTask.java,clean-architecture/src/test/java/com/iluwatar/cleanarchitecture/AppTest.java,0
leet-code,Java/Construct Binary Tree from Preorder and Inorder Traversal.java,Java/Unique Characters.java,0
leet-code,Java/Add Two Numbers.java,Java/Search in Rotated Sorted Array.java,0
immutables,value-processor/src/org/immutables/value/processor/meta/Annotations.java,generator/src/org/immutables/generator/ImportRewriter.java,0
leet-code,Java/1041. Robot Bounded In Circle.java,Java/Frog Jump.java,1
leet-code,Java/One Edit Distance.java,Java/Linked List Cycle II.java,0
leet-code,Java/Ones and Zeroes.java,Java/Interval Sum.java,0
leet-code,Java/245. Shortest Word Distance III.java,Java/Merge Sorted Array II.java,1
leet-code,Java/43. Multiply Strings.java,Java/[lint]. Heapify.java,1
leet-code,Java/272. Closest Binary Search Tree Value II.java,Java/Backpack.java,0
leet-code,Java/876. Middle of Linked List.java,Java/Top K Frequent Elements.java,0
leet-code,Java/22. Generate Parentheses.java,Java/303. Range Sum Query - Immutable.java,1
leet-code,Java/767. Reorganize String.java,Java/String Permutation.java,1
leet-code,Java/953. Verifying an Alien Dictionary.java,Java/Best Time to Buy and Sell Stock I.java,0
leet-code,Java/Add Two Numbers.java,Java/Strobogrammatic Number II.java,0
leet-code,Java/632. Smallest Range Covering Elements from K Lists.java,Java/741. Cherry Pickup.java,1
leet-code,Java/Redundant Connection II.java,Java/Valid Sudoku.java,1
leet-code,Java/509. Fibonacci Number.java,Java/71. Simplify Path.java,1
leet-code,Java/Maximum Size Subarray Sum Equals k.java,Java/Multiply Strings.java,0
leet-code,Java/104. Maximum Depth of Binary Tree.java,Java/Redundant Connection.java,1
leet-code,Java/[tool]. Topological Sorting.java,Java/Merge Sorted Array.java,0
leet-code,Java/202. Happy Number.java,Java/222. Count Complete Tree Nodes.java,1
leet-code,Java/Convert Sorted Array to Binary Search Tree.java,Java/H-Index II.java,0
leet-code,Java/277. Find the Celebrity.java,Java/Exam Room.java,0
leet-code,Java/308. Range Sum Query 2D - Mutable.java,Java/Target Sum.java,1
leet-code,Java/308. Range Sum Query 2D - Mutable.java,Java/Sort Color.java,0
leet-code,Java/QuickSort.java,Java/Subsets.java,0
leet-code,Java/560. Subarray Sum Equals K.java,Java/Convert Binary Search Tree to Sorted Doubly Linked List (in place).java,0
leet-code,Java/First Unique Character in a String.java,Java/Minimum Size Subarray Sum.java,0
leet-code,Java/843. Guess the Word.java,Java/Merge Two Sorted Lists.java,1
leet-code,Java/Insert Interval.java,Java/k Sum.java,1
leet-code,Java/402. Remove K Digits.java,Java/Valid Number.java,0
leet-code,Java/Longest Substring with At Most K Distinct Characters.java,Java/Accounts Merge.java,0
leet-code,Java/65. Valid Number.java,Java/Intersection of Two Linked Lists.java,0
leet-code,Java/Find All Numbers Disappeared in an Array.java,Java/Robot Room Cleaner.java,1
