file1,file2,import_similarity,method_similarity,label
Java/Evaluate Reverse Polish Notation.java,Java/HashWithCustomizedClass(LinkedList).java,0.0,0.0,1
thread-pool-executor/src/test/java/com/iluwatar/threadpoolexecutor/AppTest.java,backpressure/src/test/java/com/iluwatar/backpressure/LoggerExtension.java,0.0,0.0,0
Java/747. Largest Number At Least Twice of Others.java,Java/Largest Number.java,0.0,0.0,0
Java/307. Range Sum Query - Mutable.java,Java/Sort List.java,0.0,0.0,0
value-fixture/src-java-17/org/immutables/fixture/jackson3/ConstructorJacksonMapped.java,value-annotations/src/org/immutables/value/Value.java,0.0,0.0,0
Java/152. Maximum Product Subarray.java,Java/HashWithCustomizedClass(LinkedList).java,0.0,0.0,1
Java/273. Integer to English Words.java,Java/62. Unique Path.java,0.0,0.0,1
Java/493. Reverse Pairs.java,Java/Reshape the Matrix.java,0.0,0.0,1
value-fixture/src/org/immutables/fixture/jdkonly/OptionalDoubleDefault.java,value-fixture/src-java-17/org/immutables/fixture/datatype/SomeTypes.java,0.3333333333333333,0.0,0
Java/1. Two Sum.java,Java/443. String Compression.java,0.0,0.0,1
Java/134. Gas Station.java,Java/Minimum Absolute Difference in BST.java,0.0,0.0,1
Java/245. Shortest Word Distance III.java,Java/Longest Valid Parentheses.java,0.0,0.0,1
Java/785. Is Graph Bipartite.java,Java/Sliding Window Median.java,0.0,0.0,0
Java/159. Longest Substring with At Most Two Distinct Characters.java,Java/747. Largest Number At Least Twice of Others.java,0.0,0.0,1
thread-pool-executor/src/main/java/com/iluwatar/threadpoolexecutor/VipGuestCheckInTask.java,clean-architecture/src/test/java/com/iluwatar/cleanarchitecture/AppTest.java,0.0,0.0,0
value-processor/src/org/immutables/value/processor/meta/Annotations.java,generator/src/org/immutables/generator/ImportRewriter.java,0.14285714285714285,0.0,0
Java/1041. Robot Bounded In Circle.java,Java/Frog Jump.java,0.0,0.0,1
Java/One Edit Distance.java,Java/Linked List Cycle II.java,0.0,0.0,0
Java/Ones and Zeroes.java,Java/Interval Sum.java,0.0,0.0,0
Java/43. Multiply Strings.java,Java/[lint]. Heapify.java,0.0,0.0,1
Java/272. Closest Binary Search Tree Value II.java,Java/Backpack.java,0.0,0.0,0
Java/22. Generate Parentheses.java,Java/303. Range Sum Query - Immutable.java,0.0,0.0,1
Java/767. Reorganize String.java,Java/String Permutation.java,0.0,0.0,1
Java/632. Smallest Range Covering Elements from K Lists.java,Java/741. Cherry Pickup.java,0.0,0.0,1
Java/509. Fibonacci Number.java,Java/71. Simplify Path.java,0.0,0.0,1
Java/104. Maximum Depth of Binary Tree.java,Java/Redundant Connection.java,0.0,0.0,1
